keys;en;pl
DOCUMENT_DLO;Delivery order;Zlecenie dostawy
DOCUMENT_POD;Proof of delivery;Potwierdzenie dostawy
DOCUMENT_CIN;Commercial invoice;Faktura handlowa
DOCUMENT_PKL;Packing list;Lista załadunkowa
DOCUMENT_MSD;Material safety data sheet;Karta charakterystyki materiału
DOCUMENT_DGD;Dangerous goods declaration;Deklaracja towarów niebezpiecznych
CHARGE_AFR;Airfreight;Fracht lotniczy
CHARGE_SFR;Seafreight;Fracht morski
CHARGE_PUP;Pickup;Odbiór
CHARGE_DEL;Delivery;Dostawa
CHARGE_CSE;Export customs clearance;Eksportowa odprawa celna
CHARGE_CSI;Import customs clearance;Importowa odprawa celna
CHARGE_HDE;Export handling;Eksportowa obsługa
CHARGE_HDI;Import handling;Importowa obsługa
LOADING;loading;ładowanie
